"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.389905208E0,-3.430016463E0,-8.490934807E-1,-4.691208839E0,5.873109316E0
2.399875208E0,-3.610196074E0,-8.111163998E-1,-3.359413088E0,4.997707655E0
2.409846208E0,-2.039879533E0,-5.056829971E-1,-1.760206916E0,2.741377790E0
2.419816208E0,-9.481032139E-1,-5.712682915E-1,-7.439131808E-1,1.333661871E0
2.429786208E0,-5.483472061E-1,-2.902762502E-1,3.258460325E-1,7.007999692E-1
2.439756208E0,-5.830223644E-1,-5.109811592E-1,7.774767834E-1,1.097946707E0
2.449727208E0,-4.768474531E-1,-9.190168244E-1,9.212019289E-1,1.385852954E0
2.459697208E0,-5.866628408E-2,-9.948049253E-1,1.689941803E-1,1.010760904E0
2.469667208E0,-2.759640205E-1,-2.458127360E0,-1.018025388E0,2.674868586E0
2.479638208E0,-4.521417975E-1,-2.446705409E0,-1.642474398E0,2.981362392E0
2.489608208E0,-3.710245442E-1,-2.050772311E0,-7.874641201E-1,2.227874778E0
2.499578208E0,3.142720538E-1,-1.302176095E0,-1.286255881E-1,1.345724358E0
2.509549208E0,8.256642723E-1,-6.501460612E-1,-3.148901045E-2,1.051381448E0
2.519519208E0,1.091424317E0,-5.474976057E-1,-8.560879201E-2,1.224046377E0
2.529489208E0,1.021895075E0,-2.184022754E-1,-2.292298570E-1,1.069820278E0
2.539460208E0,3.352524483E-1,-5.430402732E-1,-5.540596434E-1,8.451443847E-1
2.549430208E0,4.853001881E-1,-6.600576764E-1,-1.353094526E0,1.581789242E0
2.559400208E0,7.665629554E-1,-1.020863627E0,-1.971801571E0,2.348996114E0
2.569371208E0,-5.331578940E-1,-1.492859060E0,-2.374482940E0,2.855005210E0
2.579341208E0,-9.102369377E-1,-1.071214585E0,-1.978557297E0,2.427080746E0
2.589311208E0,6.530886725E-1,-8.799556696E-1,-7.286566257E-2,1.098251428E0
2.599281208E0,2.705942300E0,-1.358573075E0,1.417126654E0,3.343066330E0
2.609252208E0,5.195987856E0,-2.499629728E0,3.485883100E0,6.737790407E0
2.619222208E0,5.759430234E0,-1.806414245E0,4.276564651E0,7.397511356E0
2.629192208E0,4.334284563E0,-1.384698434E0,3.798290477E0,5.927092286E0
2.639163208E0,3.021433498E0,-1.975605184E0,3.204763005E0,4.827274816E0
2.649133208E0,2.922249226E0,-2.197499417E0,2.538525406E0,4.451140917E0
2.659103208E0,2.892607935E0,-2.011483115E0,1.425837690E0,3.800823346E0
2.669074208E0,2.264926000E0,-1.855722061E0,8.116251075E-1,3.038474859E0
2.679044208E0,2.594442622E0,-6.913537288E-1,1.019103030E0,2.871876300E0
2.689014208E0,2.708304575E0,6.633718783E-1,9.471577191E-1,2.944840177E0
2.698985208E0,1.422118860E0,9.417455363E-1,9.623581409E-2,1.708381702E0
2.708955708E0,7.773709488E-1,1.016468859E0,-1.086944765E0,1.678976907E0
2.718925708E0,1.998908678E-1,9.662605727E-1,-1.888484595E0,2.130725209E0
2.728895708E0,1.470174202E-1,1.109967007E0,-1.854660791E0,2.166427365E0
2.738866708E0,2.404530028E-1,1.117096517E0,-1.561800656E0,1.935185667E0
2.748836708E0,3.358400935E-1,1.062333249E0,-1.013894915E0,1.506427363E0
2.758806708E0,6.258722225E-1,-8.125817120E-2,-7.565811735E-1,9.852583425E-1
2.768777708E0,1.366655096E0,-2.308644462E0,1.296064585E-1,2.685960394E0
2.778747708E0,2.807729753E0,-4.468445125E0,1.100054807E0,5.390776269E0
2.788717708E0,3.237330827E0,-5.376006669E0,2.051495612E0,6.602302086E0
2.798688708E0,3.117587744E0,-4.162062135E0,1.153990694E0,5.326707151E0
2.808658708E0,2.055255956E0,-4.714379016E0,1.394457145E-1,5.144792674E0
2.818628708E0,2.055225843E0,-4.317851840E0,-1.247275418E-1,4.783654956E0
2.828599708E0,1.854919823E0,-3.121122093E0,5.987412880E-1,3.679758389E0
2.838569708E0,-7.824045244E-1,-1.561179097E0,8.421075198E-1,1.938706292E0
2.848539708E0,-4.829835212E-1,1.834254009E-1,1.607205455E0,1.688202398E0
2.858510708E0,7.392032486E-1,1.430579782E0,2.770973863E0,3.204883165E0
2.868480708E0,1.795609468E0,1.994056073E0,2.186003206E0,3.461081190E0
2.878450708E0,1.877540946E0,1.890805939E0,2.119797230E0,3.404973921E0
2.888421708E0,2.379380861E0,2.292913697E0,2.139375024E0,3.936474564E0
2.898391708E0,2.430633168E0,2.343687410E0,2.011195432E0,3.930108820E0
2.908361708E0,2.560634898E0,1.564436581E0,1.621360541E0,3.410736416E0
2.918331708E0,9.374492946E-1,1.387468261E-1,2.125204297E0,2.326919673E0
2.928302708E0,1.416687090E0,2.148048930E0,1.396332639E0,2.927603346E0
2.938272708E0,2.438161750E0,3.018212852E0,2.767282516E0,4.765720728E0
2.948242708E0,1.926896124E0,3.399191111E0,1.760417562E0,4.285615344E0
2.958213708E0,1.708440639E0,2.761462197E0,1.678628025E0,3.655439089E0
2.968183708E0,2.452400597E0,2.065572199E0,1.716796310E0,3.637065681E0
2.978153708E0,2.390422158E0,9.061944652E-1,-2.813440436E-1,2.571859439E0
2.988124708E0,1.234691625E0,3.565374827E-1,-8.730413371E-1,1.553635595E0
2.998094708E0,7.719675368E-1,8.882932144E-1,-1.688921463E0,2.058507815E0
3.008064708E0,-6.560613969E-1,1.653749877E0,-2.394057080E0,2.982752841E0
3.018035708E0,-2.028342392E0,2.763802253E0,-3.493259947E0,4.894450001E0
3.028005708E0,-1.786119729E-2,3.150813085E-1,-3.164144737E0,3.179843890E0
3.037975708E0,1.477310729E-1,-3.285323603E0,-3.390397484E0,4.723343175E0
3.047945708E0,-3.584399036E0,-3.893729900E0,-3.739670386E0,6.480291936E0
3.057916708E0,-3.152379554E0,1.799837297E-1,-3.145718406E0,4.457065771E0
3.067886708E0,-6.806509852E-1,3.835280548E0,-1.382412758E0,4.133246627E0
3.077856708E0,2.128594074E-1,3.532004768E0,-7.777615428E-2,3.539267712E0
3.087827708E0,1.091021444E0,2.476387045E0,-2.839489782E-1,2.720927711E0
3.097797708E0,2.138474699E0,1.605947134E0,-2.130544851E-1,2.682821733E0
3.107767708E0,2.495080009E0,1.165360020E0,3.624221206E-1,2.777559724E0
3.117738708E0,2.069143093E0,1.190872591E0,5.670951337E-1,2.453798598E0
3.127708708E0,1.390553836E0,1.491490812E0,3.183662742E-1,2.063865765E0
3.137678708E0,6.725189701E-1,1.369378729E0,-9.867874425E-2,1.528796051E0
3.147649708E0,2.564442605E-1,7.239361686E-1,-2.849073551E-1,8.191577601E-1
